method,trial,n_detected,ppv,tpr,f1,delay,runtime_ms
vocd,0,6,1.0,1.0,1.0,0.6666666666666666,38.93633300322108
vocd,1,6,1.0,1.0,1.0,0.0,35.79937499307562
vocd,2,6,1.0,1.0,1.0,0.8333333333333334,36.19829099625349
vocd,3,6,1.0,1.0,1.0,0.0,36.195458000293
vocd,4,6,1.0,1.0,1.0,0.5,36.1615419969894
vocd,5,6,1.0,1.0,1.0,0.16666666666666666,35.204249987145886
vocd,6,6,1.0,1.0,1.0,0.0,36.04983299737796
vocd,7,6,1.0,1.0,1.0,0.0,36.15070799423847
vocd,8,6,1.0,1.0,1.0,0.0,36.607709000236355
vocd,9,6,1.0,1.0,1.0,0.0,36.11737499886658
std-bocd,0,10,0.6,1.0,0.7499999999999999,1.3333333333333333,132.3072919913102
std-bocd,1,9,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.0,127.51812499482185
std-bocd,2,8,0.625,0.8333333333333334,0.7142857142857143,2.0,126.90766699961387
std-bocd,3,7,0.8571428571428571,1.0,0.923076923076923,1.6666666666666667,126.74887500179466
std-bocd,4,7,0.8571428571428571,1.0,0.923076923076923,1.5,126.93316700460855
std-bocd,5,10,0.6,1.0,0.7499999999999999,0.0,128.0215419974411
std-bocd,6,7,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.0,127.28412500291597
std-bocd,7,9,0.6666666666666666,1.0,0.8,0.8333333333333334,126.5229169948725
std-bocd,8,9,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.0,126.89091700303834
std-bocd,9,9,0.6666666666666666,1.0,0.8,0.0,126.54512499284465
dsm-bocd,0,5,1.0,0.8333333333333334,0.9090909090909091,1.4,25203.81258400448
dsm-bocd,1,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.2,25373.2044579956
dsm-bocd,2,7,0.8571428571428571,1.0,0.923076923076923,1.3333333333333333,25945.086665989948
dsm-bocd,3,6,1.0,1.0,1.0,2.3333333333333335,26413.330833995133
dsm-bocd,4,6,1.0,1.0,1.0,1.5,25458.576832999825
dsm-bocd,5,6,1.0,1.0,1.0,2.3333333333333335,25615.67308299709
dsm-bocd,6,6,1.0,1.0,1.0,2.5,25321.891625004355
dsm-bocd,7,6,1.0,1.0,1.0,1.1666666666666667,27628.361875002156
dsm-bocd,8,7,0.8571428571428571,1.0,0.923076923076923,2.0,26094.72941599961
dsm-bocd,9,5,1.0,0.8333333333333334,0.9090909090909091,1.6,25525.75645899924
