method,trial,n_detected,ppv,tpr,f1,delay,runtime_ms
vocd,0,6,1.0,1.0,1.0,0.6666666666666666,7.018374977633357
vocd,1,6,1.0,1.0,1.0,0.0,4.3735409853979945
vocd,2,6,1.0,1.0,1.0,0.8333333333333334,4.50229097623378
vocd,3,6,1.0,1.0,1.0,0.0,4.666832974180579
vocd,4,6,1.0,1.0,1.0,0.5,4.584457958117127
vocd,5,6,1.0,1.0,1.0,0.16666666666666666,3.817542048636824
vocd,6,6,1.0,1.0,1.0,0.0,4.502666997723281
vocd,7,6,1.0,1.0,1.0,0.0,4.529458004981279
vocd,8,6,1.0,1.0,1.0,0.0,5.224624997936189
vocd,9,6,1.0,1.0,1.0,0.0,4.654332995414734
bocd,0,12,0.5,1.0,0.6666666666666666,1.3333333333333333,136.56695798272267
bocd,1,10,0.5,0.8333333333333334,0.625,0.0,126.67304102797061
bocd,2,8,0.625,1.0,0.7692307692307693,1.6,124.48950001271442
bocd,3,10,0.5,1.0,0.6666666666666666,2.0,125.56958303321153
bocd,4,9,0.6666666666666666,1.0,0.8,1.5,125.0110839609988
bocd,5,11,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.0,125.47920801443979
bocd,6,8,0.5,0.6666666666666666,0.5714285714285715,0.0,125.0228330027312
bocd,7,10,0.6,1.0,0.7499999999999999,0.8333333333333334,125.17770798876882
bocd,8,11,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.0,125.09595800656825
bocd,9,11,0.5454545454545454,1.0,0.7058823529411764,0.0,125.20595802925527
dm-bocd,0,9,0.6666666666666666,1.0,0.8,0.3333333333333333,25500.61683304375
dm-bocd,1,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,25390.705416968558
dm-bocd,2,7,0.7142857142857143,1.0,0.8333333333333333,1.8,26345.383249979932
dm-bocd,3,7,0.8571428571428571,1.0,0.923076923076923,1.8333333333333333,25145.043874974363
dm-bocd,4,6,1.0,1.0,1.0,1.5,19816.952541004866
dm-bocd,5,6,1.0,1.0,1.0,0.6666666666666666,14420.999041991308
dm-bocd,6,8,0.5,0.6666666666666666,0.5714285714285715,0.0,14393.806667008903
dm-bocd,7,7,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.6,14414.265375002287
dm-bocd,8,8,0.75,1.0,0.8571428571428571,0.8333333333333334,14288.79587497795
dm-bocd,9,9,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.6,14333.318083023187
np-focus,0,8,0.75,1.0,0.8571428571428571,1.1666666666666667,18.47645896486938
np-focus,1,8,0.75,1.0,0.8571428571428571,1.1666666666666667,15.712499967776239
np-focus,2,8,0.75,1.0,0.8571428571428571,1.0,15.516874962486327
np-focus,3,8,0.75,1.0,0.8571428571428571,1.0,15.66258299862966
np-focus,4,7,0.8571428571428571,1.0,0.923076923076923,1.0,14.582416974008083
np-focus,5,7,0.8571428571428571,1.0,0.923076923076923,1.1666666666666667,13.406541023869067
np-focus,6,8,0.75,1.0,0.8571428571428571,1.1666666666666667,15.339584031607956
np-focus,7,8,0.75,1.0,0.8571428571428571,1.1666666666666667,15.462499985005707
np-focus,8,7,0.8571428571428571,1.0,0.923076923076923,1.5,13.799083011690527
np-focus,9,8,0.75,1.0,0.8571428571428571,1.1666666666666667,15.432874963153154
r-focus,0,4,0.5,0.3333333333333333,0.4,1.0,5.084375035949051
r-focus,1,2,0.0,0.0,0.0,nan,4.920625011436641
r-focus,2,4,0.5,0.3333333333333333,0.4,1.0,4.903458000626415
r-focus,3,4,0.5,0.3333333333333333,0.4,1.0,4.953166993800551
r-focus,4,1,1.0,0.16666666666666666,0.2857142857142857,0.0,4.252958984579891
r-focus,5,4,0.5,0.3333333333333333,0.4,1.0,4.939124977681786
r-focus,6,4,0.5,0.3333333333333333,0.4,1.0,4.925584013108164
r-focus,7,4,0.5,0.3333333333333333,0.4,1.0,4.914916004054248
r-focus,8,4,0.5,0.3333333333333333,0.4,1.0,4.929874965455383
r-focus,9,4,0.5,0.3333333333333333,0.4,1.0,4.920499981380999
chad,0,11,0.6363636363636364,1.0,0.7777777777777778,3.4285714285714284,154.90000002318993
chad,1,13,0.5384615384615384,1.0,0.7000000000000001,3.2857142857142856,152.8571670060046
chad,2,11,0.6363636363636364,1.0,0.7777777777777778,3.142857142857143,154.8544999677688
chad,3,13,0.5384615384615384,1.0,0.7000000000000001,3.2857142857142856,145.59429202927276
chad,4,11,0.6363636363636364,1.0,0.7777777777777778,3.4285714285714284,154.17683398118243
chad,5,11,0.6363636363636364,1.0,0.7777777777777778,3.4285714285714284,153.76879199175164
chad,6,13,0.5384615384615384,1.0,0.7000000000000001,3.2857142857142856,152.48829196207225
chad,7,12,0.5,1.0,0.6666666666666666,2.8333333333333335,150.09645803365856
chad,8,11,0.6363636363636364,1.0,0.7777777777777778,3.4285714285714284,153.5336670349352
chad,9,12,0.5,1.0,0.6666666666666666,2.8333333333333335,156.58462495775893
