method,trial,n_detected,ppv,tpr,f1,delay,runtime_ms
vocd,0,6,1.0,1.0,1.0,0.6666666666666666,20.627584017347544
vocd,1,6,1.0,1.0,1.0,0.0,20.90529102133587
vocd,2,6,1.0,1.0,1.0,0.8333333333333334,20.381208043545485
vocd,3,6,1.0,1.0,1.0,0.0,20.474291988648474
vocd,4,6,1.0,1.0,1.0,0.5,20.581499964464456
vocd,5,6,1.0,1.0,1.0,0.16666666666666666,20.083167008124292
vocd,6,6,1.0,1.0,1.0,0.0,20.511874987278134
vocd,7,6,1.0,1.0,1.0,0.0,20.54341702023521
vocd,8,6,1.0,1.0,1.0,0.0,20.826000021770597
vocd,9,6,1.0,1.0,1.0,0.0,20.772874995600432
bocd,0,12,0.5,1.0,0.6666666666666666,1.3333333333333333,73.28520901501179
bocd,1,8,0.625,0.8333333333333334,0.7142857142857143,0.0,72.70562497433275
bocd,2,8,0.625,1.0,0.7692307692307693,1.6,72.55983300274238
bocd,3,10,0.6,1.0,0.7499999999999999,1.6666666666666667,72.6082079927437
bocd,4,9,0.6666666666666666,1.0,0.8,1.5,72.92791700456291
bocd,5,11,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.0,72.8864999837242
bocd,6,8,0.5,0.6666666666666666,0.5714285714285715,0.0,72.72162503795698
bocd,7,9,0.5555555555555556,0.8333333333333334,0.6666666666666667,1.0,73.07479198789224
bocd,8,11,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.0,83.07324995985255
bocd,9,11,0.5454545454545454,1.0,0.7058823529411764,0.0,76.41849998617545
dm-bocd,0,6,1.0,1.0,1.0,1.0,14795.932042005006
dm-bocd,1,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4,15054.01891702786
dm-bocd,2,7,0.5714285714285714,0.8,0.6666666666666666,3.75,14959.36466701096
dm-bocd,3,6,1.0,1.0,1.0,0.3333333333333333,15051.825957954861
dm-bocd,4,7,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.4,14965.64554196084
dm-bocd,5,7,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.8,15031.182541977614
dm-bocd,6,8,0.75,1.0,0.8571428571428571,1.3333333333333333,15306.512042006943
dm-bocd,7,7,0.8571428571428571,1.0,0.923076923076923,2.1666666666666665,15611.217041034251
dm-bocd,8,6,1.0,1.0,1.0,0.5,14901.724082999863
dm-bocd,9,7,0.8571428571428571,1.0,0.923076923076923,0.16666666666666666,15649.4832909666
np-focus,0,8,0.75,1.0,0.8571428571428571,1.1666666666666667,15.732791041955352
np-focus,1,8,0.75,1.0,0.8571428571428571,1.1666666666666667,17.3562919953838
np-focus,2,8,0.75,1.0,0.8571428571428571,1.0,17.004541994538158
np-focus,3,8,0.75,1.0,0.8571428571428571,1.0,15.765042044222355
np-focus,4,7,0.8571428571428571,1.0,0.923076923076923,1.0,16.53229200746864
np-focus,5,7,0.8571428571428571,1.0,0.923076923076923,1.1666666666666667,14.559999981429428
np-focus,6,8,0.75,1.0,0.8571428571428571,1.1666666666666667,15.377165982499719
np-focus,7,8,0.75,1.0,0.8571428571428571,1.1666666666666667,15.148208010941744
np-focus,8,7,0.8571428571428571,1.0,0.923076923076923,2.3333333333333335,13.557541999034584
np-focus,9,8,0.75,1.0,0.8571428571428571,1.1666666666666667,15.163500036578625
r-focus,0,9,0.6666666666666666,1.0,0.8,1.5,5.297874973621219
r-focus,1,8,0.75,1.0,0.8571428571428571,1.5,4.937042016535997
r-focus,2,9,0.6666666666666666,1.0,0.8,1.0,5.2824169979430735
r-focus,3,9,0.6666666666666666,1.0,0.8,1.3333333333333333,5.290624976623803
r-focus,4,7,0.8571428571428571,1.0,0.923076923076923,1.3333333333333333,4.370832990389317
r-focus,5,9,0.6666666666666666,1.0,0.8,1.5,5.340165982488543
r-focus,6,9,0.6666666666666666,1.0,0.8,1.5,5.2722920081578195
r-focus,7,10,0.7,1.0,0.8235294117647058,1.5714285714285714,5.894083005841821
r-focus,8,9,0.7777777777777778,1.0,0.8750000000000001,2.4285714285714284,5.184750014450401
r-focus,9,9,0.6666666666666666,1.0,0.8,1.6666666666666667,5.285791994538158
chad,0,6,1.0,1.0,1.0,5.166666666666667,211.44004096277058
chad,1,7,0.8571428571428571,1.0,0.923076923076923,4.166666666666667,215.1798339909874
chad,2,6,1.0,1.0,1.0,4.333333333333333,210.35837498493493
chad,3,6,1.0,1.0,1.0,4.5,210.1820419775322
chad,4,6,1.0,1.0,1.0,5.166666666666667,210.11275000637397
chad,5,6,1.0,1.0,1.0,4.833333333333333,210.46999999089167
chad,6,6,1.0,1.0,1.0,4.666666666666667,210.39774996461347
chad,7,6,1.0,1.0,1.0,4.666666666666667,210.37479199003428
chad,8,6,1.0,1.0,1.0,4.833333333333333,210.8881669701077
chad,9,7,0.8571428571428571,1.0,0.923076923076923,3.8333333333333335,224.4587909663096
vocd (cpp),0,6,1.0,1.0,1.0,0.6666666666666666,3.2703339820727706
vocd (cpp),1,6,1.0,1.0,1.0,0.0,2.5158339994959533
vocd (cpp),2,6,1.0,1.0,1.0,0.8333333333333334,2.576833008788526
vocd (cpp),3,6,1.0,1.0,1.0,0.0,2.6457919739186764
vocd (cpp),4,6,1.0,1.0,1.0,0.5,2.6683330070227385
vocd (cpp),5,6,1.0,1.0,1.0,0.16666666666666666,2.1852919599041343
vocd (cpp),6,6,1.0,1.0,1.0,0.0,2.5765830068849027
vocd (cpp),7,6,1.0,1.0,1.0,0.0,2.582375018391758
vocd (cpp),8,6,1.0,1.0,1.0,0.0,2.9631670331582427
